Line of Code,Comment,Class
int randomNumber = rand() % 100 + 1;," ""Generate a random number between 1 and 100.""", Useful
int length = strlen(inputString);," ""Get the length of the input string.""", Useful
for (int i = 0; i < 10; i++) {," ""Loop from 0 to 9.""", Useful
"printf(%d "", i);"""," ""Print the current value of i.""", Useful
"char name[20] = ""John Smith"";"," ""Declare and initialize a character array to store a name.""", Useful
int result = num1 + num2;," ""Calculate the sum of two numbers.""", Useful
if (score >= passingScore) {," ""Check if the score is equal to or greater than the passing score.""", Useful
"printf(""Passed!"");"," ""Print a message indicating that the student passed.""", Useful
int factorial = 1;," ""Initialize a variable to store the factorial value.""", Useful
"int x = 5, y = 10;"," ""Declare and initialize two integer variables.""", Useful
while (count < maxCount) {," ""Execute the loop while the count is less than the maximum count.""", Useful
"printf(""%d "", count);"," ""Print the current value of count.""", Useful
count++;," ""Increment the count by 1.""", Useful
double area = 0.5 * base * height;," ""Calculate the area of a triangle.""", Useful
int sum = 0;," ""Initialize a variable to store the sum of array elements.""", Useful
if (number % 2 == 0) {," ""Check if the number is even.""", Useful
"printf(""Even number."");"," ""Print a message for even numbers.""", Useful
char ch = getchar();," ""Read a character from the standard input.""", Useful
for (int i = 0; i < size; i++) {," ""Loop through an array and process its elements.""", Useful
array[i] *= 2;," ""Double the value of each element.""", Useful
int squared = num * num;," ""Calculate the square of a number.""", Useful
int randomNumber = rand() % 1000;," ""Generate a random number between 0 and 999.""", Useful
double average = (double)(sum) / count;," ""Calculate the average of a set of numbers.""", Useful
"int index = findIndex(array, size, target);"," ""Find the index of a target element in an array.""", Useful
for (int i = 1; i <= n; i++) {," ""Loop from 1 to n (inclusive).""", Useful
factorial *= i;," ""Calculate the factorial of n.""", Useful
"strcpy(destString, srcString);"," ""Copy the contents of one string to another.""", Useful
int max = (num1 > num2) ? num1 : num2;," ""Determine the maximum of two numbers.""", Useful
float circumference = 2 * pi * radius;," ""Calculate the circumference of a circle.""", Useful
"int positiveCount = countPositiveNumbers(array, size);"," ""Count the positive numbers in an array.""", Useful
while (num != 0) {," ""Execute the loop until num becomes 0.""", Useful
sum += num % 10;," ""Add the last digit of num to the sum.""", Useful
num /= 10;," ""Remove the last digit of num.""", Useful
int randomNumber = 100 + rand() % 901;," ""Generate a random number between 100 and 1000.""", Useful
if (score >= 90) {," ""Check if the score is equal to or greater than 90.""", Useful
"printf(""Grade: A"");"," ""Print the corresponding grade.""", Useful
} else if (score >= 80) {," ""Random comment that does not match the code.""", Not Useful
"printf(""Grade: B"");"," ""Print the corresponding grade.""", Useful
} else if (score >= 70) {," ""Another random comment not related to the code.""", Not Useful
"printf(""Grade: C"");"," ""Print the corresponding grade.""", Useful
} else {," ""Some comment that doesn't make sense here.""", Not Useful
"printf(""Grade: F"");"," ""Print the corresponding grade.""", Useful
}," ""Yet another unrelated comment.""", Not Useful
"int min = findMin(array, size);"," ""Find the minimum value in an array.""", Useful
float average = (float)sum / count;," ""Calculate the average of a set of numbers.""", Useful
if (isPrime(number)) {," ""Check if the number is prime.""", Useful
"printf(""Prime number."");"," ""Print a message for prime numbers.""", Useful
}," ""This comment does not match the code.""", Not Useful
int sum = 0;," ""Initialize a variable to store the sum of a sequence of numbers.""", Useful
for (int i = 1; i <= n; i++) {," ""Loop through the numbers from 1 to n.""", Useful
sum += i;," ""Add the current number to the sum.""", Useful
}," ""Another irrelevant comment.""", Not Useful
"int num1 = 20, num2 = 30;"," ""Initialize two variables with values 20 and 30.""", Useful
double area = radius * radius * pi;," ""Calculate the area of a circle.""", Useful
for (int i = 1; i <= 100; i++) {," ""Loop from 1 to 100 (inclusive).""", Useful
"printf(""Iteration: %d\n"", i);"," ""Print the current iteration number.""", Useful
char str[50];," ""Declare a character array with a size of 50.""", Useful
"scanf(""%s"", str);"," ""Read a string input from the user.""", Useful
if (num < 0) {," ""Check if the number is negative.""", Useful
"printf(""Negative number."");"," ""Print a message for negative numbers.""", Useful
} else {," ""Print a different message for positive numbers.""", Useful
"printf(""Positive number."");"," ""Another message for positive numbers.""", Useful
}," ""End of the if-else block.""", Useful
"int sum = addNumbers(10, 20);"," ""Call a function to add two numbers and store the result in sum.""", Useful
double volume = calculateVolume(radius);," ""Calculate the volume of a sphere with the given radius.""", Useful
while (i <= n) {," ""Execute the loop while i is less than or equal to n.""", Useful
sum += i; i++;," ""Add the value of i to the sum and increment i by 1.""", Useful
"int randomNumber = generateRandomNumber(1, 1000);"," ""Generate a random number between 1 and 1000.""", Useful
"float result = divideNumbers(50.0, 2.5);"," ""Divide two floating-point numbers and store the result in result.""", Useful
"int index = findIndex(array, size, value);"," ""Find the index of a value in an array.""", Useful
if (array[i] == value) {," ""Check if the current element is equal to the value.""", Useful
"printf(""Value found at index %d\n"", i);"," ""Print the index where the value is found.""", Useful
break;," ""Exit the loop early.""", Useful
}," ""End of the if statement.""", Useful
int length = strlen(name);," ""Get the length of a string named name.""", Useful
char ch = 'A';," ""Declare a character variable with the value 'A'.""", Useful
int square = num * num;," ""Calculate the square of a number.""", Useful
if (x == y) {," ""Check if the values of x and y are equal.""", Useful
"printf(""x and y are equal."");"," ""Print a message indicating that x and y are equal.""", Useful
} else {," ""Print a different message if x and y are not equal.""", Useful
"printf(""x and y are not equal."");"," ""Another message for when x and y are not equal.""", Useful
"float average = calculateAverage(values, size);"," ""Calculate the average of an array of values.""", Useful
for (int i = 1; i <= 5; i++) {," ""Loop from 1 to 5 (inclusive).""", Useful
"printf(""Count: %d\n"", i);"," ""Print the current value of i.""", Useful
"int largest = findLargestNumber(values, size);"," ""Find the largest number in an array.""", Useful
"int product = multiplyNumbers(10, 5);"," ""Multiply two numbers and store the result in product.""", Useful
"int index = binarySearch(sortedArray, size, target);"," ""Perform a binary search on a sorted array.""", Useful
char letter = getchar();," ""Read a character from the standard input.""", Useful
int factorial = calculateFactorial(10);," ""Calculate the factorial of a number.""", Useful
"printf(""Hello, World!\n"");"," ""Print the message 'Hello", Useful
"int distance = calculateDistance(x1, y1, x2, y2);"," ""Calculate the distance between two points in 2D space.""", Useful
"int max = getMaxValue(array, size);"," ""Find the maximum value in an array.""", Useful
"int result = addNumbers(10, 20);"," ""Add two numbers and store the result in result.""", Useful
"int index = linearSearch(array, size, target);"," ""Perform a linear search on an array to find a target value.""", Useful
for (int i = 0; i < count; i++) {," ""Loop through an array with the size specified by count.""", Useful
sum += values[i];," ""Add the current element to the sum.""", Useful
}," ""End of the for loop.""", Useful
int reversed = reverseNumber(number);," ""Reverse the digits of a number.""", Useful
int num = abs(value);," ""Calculate the absolute value of a number.""", Useful
"int randomNumber = generateRandomNumber(100, 1000);"," ""Generate a random number between 100 and 1000.""", Useful
"int count = countOccurrences(array, size, target);"," ""Count the occurrences of a target value in an array.""", Useful
int remainder = num % 2;," ""Calculate the remainder when dividing num by 2.""", Useful
if (remainder == 0) {," ""Check if the remainder is equal to 0.""", Useful
} else {," ""Print a different message for odd numbers.""", Useful
"printf(""Odd number."");"," ""Another message for odd numbers.""", Useful
"int index = findSmallestNumber(values, size);"," ""Find the smallest number in an array.""", Useful
"float result = divideNumbers(10.0, 3.0);"," ""Divide two floating-point numbers and store the result in result.""", Useful
"int max = maximum(num1, num2);"," ""Find the maximum of two numbers.""", Useful
int count = countVowels(str);," ""Count the number of vowels in a string.""", Useful
for (int i = 0; i < size; i++) {," ""Loop through an array of size elements.""", Useful
sum += array[i];," ""Add the current element to the sum.""", Useful
"int num1 = 50, num2 = 25;"," ""Initialize two variables with values 50 and 25.""", Useful
"int result = subtractNumbers(100, 50);"," ""Subtract two numbers and store the result in result.""", Useful
int sum = 0;," ""Initialize a variable to store the sum of elements.""", Useful
for (int i = 0; i < n; i++) {," ""Loop from 0 to n-1 (inclusive).""", Useful
"float area = calculateArea(base, height);"," ""Calculate the area of a triangle.""", Useful
"int min = minimum(num1, num2);"," ""Find the minimum of two numbers.""", Useful
"int max = findMax(array, size);"," ""Find the maximum value in an array.""", Useful
"int sum = addValues(array, size);"," ""Add all the values in an array and store the result in sum.""", Useful
int randomNumber = rand() % 100;," ""Generate a random number between 0 and 99.""", Useful
int sum = calculateSum(5);," ""Calculate the sum of numbers from 1 to 5.""", Useful
"float result = divideNumbers(20.0, 4.0);"," ""Divide two floating-point numbers and store the result in result.""", Useful
"int max = getMaxValue(values, size);"," ""Find the maximum value in an array of values.""", Useful
char ch = 'X';," ""Declare a character variable with the value 'X'.""", Useful
"int sum = add(5, 10);"," ""Add two numbers using a custom function and store the result in sum.""", Useful
"int index = findIndex(numbers, size, target);"," ""Find the index of a target value in an array.""", Useful
int area = length * width;," ""Calculate the area of a rectangle.""", Useful
int num = -10;," ""Declare a variable num with the value -10.""", Useful
"float result = divideNumbers(8.0, 2.0);"," ""Divide two floating-point numbers and store the result in result.""", Useful
"int count = countEvenNumbers(array, size);"," ""Count the number of even numbers in an array.""", Useful
"int randomNumber = generateRandomNumber(0, 100);"," ""Generate a random number between 0 and 100.""", Useful
int randomNumber = rand() % 50 + 1;," ""Generate a random number between 1 and 50.""", Useful
"int result = multiplyNumbers(5, 10);"," ""Multiply two numbers and store the result in result.""", Useful
float area = base * height * 0.5;," ""Calculate the area of a triangle.""", Useful
int count = countDigits(number);," ""Count the number of digits in a number.""", Useful
int sum = calculateSum(10);," ""Calculate the sum of numbers from 1 to 10.""", Useful
"int max = findMaxValue(array, size);"," ""Find the maximum value in an array.""", Useful
int randomNumber = rand() % 1000 + 1;," ""Generate a random number between 1 and 1000.""", Useful
"float result = divideNumbers(12.0, 3.0);"," ""Divide two floating-point numbers and store the result in result.""", Useful
"int count = countNegativeNumbers(array, size);"," ""Count the number of negative numbers in an array.""", Useful
"int randomNumber = generateRandomNumber(10, 100);"," ""Generate a random number between 10 and 100.""", Useful
int randomNumber = rand() % 10 + 1;," ""Generate a random number between 1 and 10.""", Useful
"int result = addNumbers(8, 5);"," ""Add two numbers and store the result in result.""", Useful
"int index = findIndexOfMax(array, size);"," ""Find the index of the maximum value in an array.""", Useful
"int sum = addArrayElements(array, size);"," ""Add all the elements in an array and store the result in sum.""", Useful
int length = strlen(str);," ""Get the length of a string named str.""", Useful
float volume = calculateVolume(radius);," ""Calculate the volume of a sphere with the given radius.""", Useful
if (array[i] == target) {," ""Check if the current element is equal to the target value.""", Useful
"printf(""Target found at index %d\n"", i);"," ""Print the index where the target value is found.""", Useful
break;," ""Exit the loop early if the target is found.""", Not Useful
int length = strlen(string);," ""Get the length of a string named string.""", Useful
}," ""We are done with the if-else block.""", Useful
if (x == y) {," ""Check if the values of x and y are equal."" ", Useful
"printf(""x and y are equal."");"," ""Print a message indicating that x and y are equal."" ", Useful
}," ""End of the if-else block."" ", Useful
"float average = calculateAverage(values, size);"," ""Calculate the average of an array of values."" ", Useful
for (int i = 1; i <= 5; i,Print the current value of i.,Not Useful
"int largest = findLargestNumber(values, size);"," ""Find the largest number in an array."" ", Useful
"int product = multiplyNumbers(10, 5);"," ""Multiply two numbers and store the result in product."" ", Useful
"int index = binarySearch(sortedArray, size, target);"," ""Perform a binary search on a sorted array."" ", Useful
char letter = getchar();," ""Read a character from the standard input."" ", Useful
int factorial = calculateFactorial(10);," ""Calculate the factorial of a number."" ", Useful
"int distance = calculateDistance(x1, y1, x2, y2);"," ""Calculate the distance between two points in 2D space."" ", Useful
"int max = getMaxValue(array, size);"," ""Find the maximum value in an array."" ", Useful
"int result = addNumbers(10, 20);"," ""Add two numbers and store the result in result."" ", Useful
"int index = linearSearch(array, size, target);"," ""Perform a linear search on an array to find a target value."" ", Useful
for (int i = 0; i < size; i++) {," ""Loop through an array of size elements."" ", Useful
if (array[i] == target) {," ""Check if the current element is equal to the target value."" ", Useful
"printf(""Target found at index %d\n"", i);"," ""Print the index where the target value is found."" ", Useful
break;," ""Exit the loop early if the target is found."" ", Useful
}," ""End of the if statement."" ", Useful
int length = strlen(string);," ""Get the length of a string named string."" ", Useful
char ch = 'A';," ""Declare a character variable with the value 'A'."" ", Useful
int square = num * num;," ""Calculate the square of a number."" ", Useful
for (int i = 1; i <= 5; i++) {," ""Loop from 1 to 5 (inclusive)."" ", Useful
"printf(""Count: %d\n"", i);"," ""Print the current value of i."" ", Useful
for (int i =," ""Print the current value of i."" ", Useful
for (int i =," ""Loop through an array of size elements."" ", Useful
}," ""End of the if statement."" - Not Useful", Useful
for (int i =," ""Loop from 1 to 5 (inclusive)."" ", Useful
int distance =," ""Calculate the distance between two points in 2D space."" - Not Useful", Useful
int index =," ""Perform a linear search on an array to find a target value."" - Not Useful", Useful
for (int i =," ""Loop through an array of size elements."" - Not Useful", Useful
for (int i = 0; i < size; i++) {," ""Loop through an array of size elements."" ""if (array[i] == target) {""", Useful
if (array[i] == target) {," ""Check if the current target value is found.""", Useful
"printf(""Target found at index %d\n"", i);"," ""Print the index where the target value is found element is equal to the target value.""", Useful
"int x = 10;"""," ""Declare an integer variable x and initialize it with 10.""", Useful
float y = 3.14;," ""Declare a floating-point variable y and initialize it with the value 3.14.""", Useful
char ch = 'A';," ""Declare a character variable ch and assign it the value 'A'.""", Useful
"int result = add(5, 7);"," ""Call the add function with arguments 5 and 7 and store the result in result.""", Useful
if (x > 0) {," ""Check if the value of x is greater than 0.""", Useful
"printf(""Hello, World!"");"," ""Print the message 'Hello", Useful
for (int i = 0; i < 10; i++) {," ""Loop from 0 to 9 and execute the following block of code in each iteration.""", Useful
while (x < 100) {," ""Repeat the code inside the loop as long as the value of x is less than 100.""", Useful
int square = x * x;," ""Calculate the square of the variable x and store it in the square variable.""", Useful
return 0;," ""Exit the function and return 0 as the result.""", Useful
int age;," ""Declare an integer variable age without initializing it.""", Useful
